OF22,OF26,OF27,F17,F20,F21,F23,F24,F28,F29,F31,F33,F34,F36,F38,F43,F44,F45,F49,F63,F65,PR
3,4,2043,1,2,4,3,2,2,2,3,0,0,0,0,2,2,5,1,0,4.41,5.119
3,4,1854,1,3,3,2,4,2,2,5,0,0,0,0,4,0,0,1,0,4.52,10
3,4,2283,1,1,3,1,5,1,0,1,0,5,0,0,5,0,0,1,0,4.43,10
3,4,1339,3,3,4,1,3,1,1,5,0,0,0,0,4,0,0,1,0,6.49,10
1,6,2139,1,3,3,1,6,0,0,0,0,0,0,0,4,0,0,1,0,6.7205,10
1,4,1608,1,2,4,2,5,2,0,1,0,0,0,0,1,1,4,2,0,6.951,5.064
2,4,1426,2,2,4,3,2,2,2,5,0,0,0,0,2,1,3,1,0,6.02,6.265
2,5,1799,2,2,4,3,4,1,2,1,0,0,0,0,1,2,4,2,0,6.47,6.083
2,5,1329,2,2,3,2,1,2,2,1,0,0,0,0,1,1,2,2,0,6.92,5.041
1,4,1418,1,2,3,2,1,2,2,1,0,0,0,0,1,2,2,1,0,6.17,4.717
1,6,1670,1,3,3,1,6,0,0,0,0,0,0,0,4,0,0,2,0,4.9,10
4,4,1551,1,2,3,1,5,1,1,5,0,0,0,0,4,0,0,1,0,3.63,10
3,4,1551,1,2,3,1,5,1,1,5,0,0,0,0,5,0,0,1,0,3.53,10
3,6,1945,4,2,3,2,5,1,1,4,0,0,0,0,2,2,4,1,0,3.89,7.478
3,6,2181,1,3,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,4.25,10
3,6,2038,1,2,4,2,6,0,0,0,0,0,0,0,5,0,0,1,0,4.61,10
3,5,2083,4,3,3,4,2,1,1,3,0,0,0,0,1,1,4,2,0,4.97,6.478
2,5,1669,2,3,3,2,5,1,1,1,0,0,0,0,1,2,4,2,0,5.33,5.988
1,6,2026,1,3,3,2,5,1,1,5,1,0,0,0,5,0,0,1,0,5.69,10
1,6,2008,1,3,3,3,3,1,1,5,1,0,0,0,2,2,4,1,0,6.05,7.477
1,4,2003,2,2,1,2,2,2,2,5,0,0,0,0,1,2,4,1,0,6.41,4.269
2,4,2194,3,3,3,3,2,2,2,4,0,0,0,0,1,2,5,1,0,5.02,5.029
3,4,1883,3,3,2,2,3,3,2,1,0,0,0,0,1,2,4,2,0,5.255,4.303
3,4,1911,2,3,2,1,4,1,1,5,0,0,0,0,5,0,0,1,0,5.49,10
3,4,2217,2,3,3,2,2,1,1,5,0,0,0,0,5,0,0,1,0,6.43,10
2,6,1735,1,2,2,2,6,0,0,0,0,0,0,0,2,2,1,1,0,5.53,7.444
1,4,1864,1,1,4,2,3,2,1,5,0,0,0,0,4,0,0,1,0,4.63,10
4,6,2175,1,1,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,4.47,10
3,4,1973,1,1,3,1,4,1,1,5,1,0,0,0,5,0,0,1,0,3.7,10
3,4,2166,1,1,3,1,6,0,0,0,0,0,0,0,4,0,0,1,0,4.03,10
4,4,2079,1,1,3,1,5,1,1,5,0,0,0,0,5,0,0,1,0,4.238571429,10
1,6,2032,1,3,3,1,6,0,0,0,0,0,0,0,5,0,0,2,0,4.447142857,10
1,1,1888,1,3,3,1,6,0,0,0,0,0,0,0,4,0,0,2,0,4.655714286,10
