OF18,OF19,OF20,OF21,OF22,OF23,OF24,F41,F48,F50,F52,F66b,S2,PR_Benefit
0.67,0,4,4,3,1,2,1,3,3,2,50.4,0.233333333,6.426
0.156,0,4,4,2,1,3,0,3,5,0,50.2,0.266666666,1.259
0.45,0,4,4,2,1,3,1,3,5,0,50,0.3,6.014
0.17204,0,4,4,2,2,3,0,3,5,0,54.375,0.333333333,1.662
0.44,0,4,4,1,2,3,0,3,4,2,58.75,0.266666666,1.888
0.412,0,4,4,1,3,2,0,3,4,4,63.125,0.2,3.099
0.279,0,4,4,1,2,2,1,3,4,3,67.5,0.133333333,7.598
0.25,0,4,4,2,1,3,0,3,5,0,71.875,0.066666667,1.181
0.6162,0,4,4,2,2,3,0,3,5,0,76.25,0,1.292
0.15,0,4,4,3,1,3,0,3,4,1,80.625,0,1.024
0.12,0,4,4,2,1,3,0,3,5,0,85,0,1.289
0.18,0,4,4,0,1,3,0,3,5,0,88,0,0.683
0.16,0,4,4,3,1,3,0,3,4,2,89,0,1.255
0.51,0,4,4,3,1,3,0,3,5,0,90,0,0.686
0.53,1,4,4,3,1,3,0,3,5,0,55,0,10
0.81,0,4,4,3,1,3,0,0,5,0,48,0,0.436
0.01,0,4,4,1,1,3,1,3,4,3,183,0,7.076
0.19,0,4,4,2,1,3,0,3,5,0,162.875,0,1.231
0.27,0,4,4,3,1,2,0,3,4,2,142.75,0,1.533
0.12,0,4,4,2,1,3,0,3,3,3,122.625,0,1.938
0.603,0,4,4,2,1,3,0,3,4,2,102.5,0,1.176
0.528,0,4,4,2,2,3,1,3,5,0,82.375,0,6.366
0.17,0,4,4,3,1,3,0,3,5,0,62.25,0,0.969
0.34,0,4,4,2,1,2,0,3,5,0,42.125,0,1.522
0.5,0,4,4,2,1,3,1,3,5,0,22,0,5.972
0.6,0,4,4,2,1,3,0,3,5,0,22.875,0,0.889
0.00085,0,4,4,1,2,3,1,3,5,0,23.75,0,7.083
0.086,0,4,4,1,1,3,1,3,5,0,24.625,0,6.595
0.75,0,4,4,1,3,1,0,3,5,0,25.5,0,2.708
0.166,0,4,4,1,2,3,0,3,5,0,26.375,0,1.945
0.865,0,4,4,2,3,3,0,3,5,0,27.25,0,1.501
0.29,0,4,4,2,3,3,0,3,4,2,28.125,0,2.114
0.66,1,4,4,2,1,3,0,3,5,0,29,0,10
0.0129,0,4,4,2,1,3,0,3,5,0,66.5,0,1.378
0.72,0,4,4,2,1,3,0,3,5,0,104,0,0.789
0.72,0,4,4,2,1,3,0,3,5,0,89.5,0,0.789
0.41,0,4,4,3,1,2,0,3,5,0,75,0,1.186
0.41,0,4,4,3,1,2,0,3,5,0,82.5,0,1.186
0.24,0,4,4,1,1,3,0,3,5,0,90,0,1.467
0.24,0,4,4,3,1,3,0,3,5,0,61,0,0.911
0.59,0,4,4,3,1,3,0,3,5,0,53,0,0.619
0.11,1,4,4,3,1,3,1,3,5,0,156,0,10
0.54,0,4,4,2,1,3,1,2,5,0,134,0,6.494
0.26,0,4,4,1,1,1,1,3,5,0,134,0,7.283
0.06,0,4,4,2,2,3,0,1,3,3,134,0,3.052
0.19,0,4,4,2,1,2,1,3,5,0,134,0,6.647
2146,0,4,4,2,1,2,1,2,5,0,134,0,0
0.1,0,4,4,2,1,1,1,3,4,3,134,0,7.488
0.9,0,4,1,1,1,3,0,3,5,0,134,0,10
0.39,0,4,4,2,1,3,0,1,4,2,134,0,2.043
