OF16,OF18,OF22,OF25,OF26,OF27,F1,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F6,F17,F18,F20,F21,F22,F23,F24,F28,F31,F33,F34,F36,F43,F44,F45,F48,F49,F54,F65,S5,NR
2,0.016,1,2,2,2062,4,0,0,0,2,0,2,5,3,5,1,3,3,2,4,1,1,3,3,3,1,1,2,3,3,2,1,5.46,0,4.856
4,0.03,2,2,4,2082,4,0,0,0,0,0,1,1,2,1,1,1,2,2,4,4,2,5,4,3,2,1,2,0,3,1,1,5.74,0,5.165
5,0.09,1,3,4,1516,4,0,0,0,0,0,2,5,4,1,1,1,3,2,4,1,2,4,3,4,1,1,1,3,3,1,1,6.02,0,5.762
5,0.08,2,2,4,1523,2,1,0,0,0,0,3,4,4,1,2,1,3,3,4,2,2,5,4,3,2,1,1,5,2,1,1,5.89,0,5.963
0,0.16,1,3,3,1865,4,0,0,0,0,0,2,4,4,2,1,2,5,4,3,1,2,4,5,5,2,1,1,2,3,1,1,4.18,0,5.43
3,0.01,2,1,4,1933,4,0,0,0,1,0,1,6,4,3,2,2,4,2,4,1,2,5,4,4,2,1,1,3,3,1,2,7.22,0,5.387
2,0.005,2,2,3,2024,3,0,4,0,2,0,1,1,4,4,1,2,1,3,2,4,4,3,3,5,1,4,0,0,3,2,6,6.785,0,10
5,0.4,2,1,4,1916,4,1,0,1,0,1,1,5,4,2,2,2,1,3,4,2,2,5,3,2,1,5,0,0,3,1,2,6.35,0,10
1,0.03,1,2,6,2026,2,1,0,2,0,2,0,5,4,3,2,3,3,3,2,5,1,1,0,5,1,1,2,3,3,1,1,5.825,0,4.541
3,0.1345,1,2,4,2009,4,1,1,1,2,0,2,3,4,2,2,2,2,3,3,2,2,5,5,3,3,2,1,2,3,1,1,5.3,0,5.779
1,0.07,3,1,4,2188,3,1,2,0,5,0,2,2,3,3,1,3,1,4,2,2,2,5,5,5,3,1,2,3,3,1,1,6.37,0,5.683
5,0.03,2,1,4,1893,4,0,0,0,2,1,2,4,1,1,1,1,2,2,4,3,2,4,4,2,2,1,1,2,1,2,1,6.22,0,5.517
4,0.51,2,3,3,1624,2,0,0,0,0,0,4,2,4,3,1,1,3,2,3,2,2,5,3,1,2,2,1,4,3,1,1,6.07,0,5.604
3,0.56,1,2,3,2254,4,0,0,0,0,1,2,5,3,1,1,1,2,1,4,2,2,4,4,4,3,1,1,3,3,1,1,5.495,0,5.307
2,0.25,2,3,6,2141,2,0,0,3,0,3,2,3,2,1,2,3,3,1,4,2,1,5,5,3,1,1,2,0,3,1,1,4.92,0,5.322
4,0.005,1,3,4,2109,3,0,1,0,4,0,2,3,3,4,1,3,2,3,4,2,2,1,0,0,0,1,2,5,3,2,6,4.345,0,5.45
5,0.8,3,0,3,1363,1,1,0,2,0,2,2,3,2,1,1,1,3,2,1,4,2,5,0,0,0,4,0,0,3,1,1,3.77,0,10
1,0.37,3,1,4,2122,3,2,1,1,5,0,2,2,3,2,1,2,2,2,2,5,3,1,0,0,0,1,2,4,3,1,1,6.67,0,4.726
5,0.26,2,3,6,2314,1,0,0,1,0,2,2,2,4,1,1,1,3,1,2,5,1,5,0,0,0,5,0,0,3,1,1,6.518333333,0,10
5,0.2,2,3,6,2082,1,2,0,2,2,0,3,1,1,1,1,3,3,1,1,6,0,0,0,0,0,5,0,0,3,1,1,6.366666667,0,10
5,0.25,2,2,6,2141,3,2,0,4,1,3,2,1,1,1,1,3,4,2,2,4,1,5,2,0,0,2,2,5,3,1,1,6.215,0,5.947
5,0.38,1,3,6,2039,1,0,0,2,1,3,3,1,3,1,1,3,3,1,1,6,0,0,0,0,0,5,0,0,3,1,1,6.063333333,0,10
4,0.42,2,1,4,1677,4,0,0,1,1,1,2,4,3,1,1,2,3,1,2,3,2,2,0,0,0,1,1,2,3,1,1,5.911666667,0,4.798
5,0.04,2,3,3,1950,3,4,0,2,0,1,0,3,1,2,1,3,3,2,1,5,1,4,0,0,0,1,1,5,1,1,1,5.76,0,5.228
5,0.13,2,3,6,1903,1,0,0,1,0,3,4,1,1,1,1,1,3,2,1,6,0,0,0,0,0,5,0,0,3,1,1,5.608333333,0,10
5,0.096,1,3,6,2092,1,0,0,0,1,2,3,3,3,1,1,1,3,1,1,6,0,0,0,0,0,5,0,0,3,1,1,5.456666667,0,10
5,0.14,2,1,6,2236,3,3,2,2,2,2,2,2,2,1,1,2,3,2,2,4,1,3,0,0,0,1,2,1,1,1,1,5.305,0,4.904
5,0.22,1,3,6,2192,1,0,0,0,0,2,3,3,3,1,1,1,3,1,1,6,0,0,0,0,0,5,0,0,3,1,1,5.153333333,0,10
5,0.54,1,3,3,2272,3,3,2,2,2,2,1,2,1,1,2,3,1,1,1,6,0,0,0,0,0,2,2,3,1,1,1,5.001666667,0,6.453
4,0.45,4,3,4,1358,1,1,0,2,0,2,2,4,3,1,1,1,3,2,1,5,1,5,0,0,0,5,0,0,3,1,1,4.85,0,10
5,0.24,2,3,4,1955,3,2,0,2,2,1,3,2,1,1,1,2,3,2,3,4,2,2,0,0,0,1,2,1,1,1,1,5.21,0,5.574
1,0.82,4,1,6,2183,1,1,0,2,0,3,2,2,2,1,1,1,3,1,1,6,0,0,0,0,0,5,0,0,3,1,1,5.57,0,10
1,0.308,2,1,4,2079,2,2,0,4,0,2,3,1,3,1,1,3,3,2,3,4,1,4,0,0,0,1,1,4,3,2,6,5.94,0,4.208
5,0.71,1,1,4,1523,4,1,1,1,2,0,2,4,3,2,1,1,4,4,2,2,2,2,0,0,0,2,1,3,3,1,1,6.31,0,5.971
2,0.5,2,2,2,2221,2,2,2,0,4,0,2,1,3,2,1,3,4,3,4,2,1,3,0,0,0,1,2,5,3,2,6,5.36,0,4.989
2,0.83,3,3,4,2043,2,2,1,2,2,2,3,2,1,1,1,2,4,3,3,2,2,3,0,0,0,2,2,5,3,1,1,4.41,0,5.801
5,0.42,3,3,4,1854,3,1,1,2,2,2,2,2,3,1,2,3,3,3,2,4,2,5,0,0,0,4,0,0,3,1,1,4.52,0,10
5,0.3,3,3,4,2283,1,1,0,1,0,2,3,3,3,1,1,1,3,2,1,5,1,1,0,5,0,5,0,0,3,1,1,4.43,0,10
4,0.52,3,3,4,1339,3,5,2,1,1,0,0,0,4,3,2,3,4,3,1,3,1,5,0,0,0,4,0,0,2,1,1,6.49,0,10
1,0.146,1,3,6,2139,1,1,0,3,0,4,0,5,3,1,1,3,3,1,1,6,0,0,0,0,0,4,0,0,3,1,1,6.7205,0,10
5,0.3,1,1,4,1608,3,6,1,1,0,0,0,0,4,1,1,2,4,2,2,5,2,1,0,0,0,1,1,4,1,2,1,6.951,0,4.929
