OF9,OF10,OF11,OF19,OF20,OF21,OF22,OF23,OF24,F13,F41,F50,F51,F52,F66b,S2,NR_Benefit
2,2,5,0,4,4,2,2,3,5,0,4,2,2,68.25,0,6.667
1,2,5,0,4,4,3,1,3,3,0,5,0,0,75.5,0,6.667
5,3,4,0,4,4,3,1,3,3,0,5,0,0,82.75,0,1.548
1,2,5,0,0,2,3,2,3,1,0,4,2,1,90,0,10
5,3,1,0,0,0,3,1,3,2,0,5,0,0,134,0,10
2,2,4,0,0,1,1,2,3,1,0,4,1,2,142.4,0,10
1,1,1,0,0,0,1,1,2,1,1,4,1,3,150.8,0,10
5,3,5,0,4,4,2,1,3,2,0,5,0,0,159.2,0,1.667
4,3,6,0,4,4,2,1,2,5,1,5,0,0,167.6,0,5.417
2,2,3,1,4,4,2,2,2,2,0,3,1,3,176,0,10
5,3,2,0,4,4,1,1,3,2,1,5,0,0,33,0,5
4,3,5,0,4,4,1,2,3,1,0,5,0,0,45.5,0,2.5
5,3,5,0,4,4,4,1,3,1,0,5,0,0,58,0,0.571
5,3,5,0,4,4,3,1,3,1,0,5,0,0,51,0,0.833
4,3,5,0,4,4,3,1,3,2,0,4,2,1,88.75,0,1.806
1,1,4,0,4,4,3,3,3,1,0,5,0,0,126.5,0,10
4,3,5,0,4,4,3,0,3,1,0,5,0,0,164.25,0,1.032
3,3,3,0,4,4,3,1,2,5,0,5,0,0,202,0,3.452
5,3,5,0,4,4,2,1,3,1,1,5,0,0,239.75,0,4.167
5,3,6,0,4,4,1,1,3,1,0,5,0,0,277.5,0,2.5
5,3,5,0,4,4,1,1,3,1,0,5,0,0,315.25,0,2.5
2,2,4,0,4,4,1,1,2,5,1,5,0,0,353,0,6.667
3,2,2,0,4,4,2,2,3,5,1,5,0,0,230,0,6.667
4,3,4,0,4,4,3,1,3,4,0,5,0,0,230,0,2.52
4,3,4,0,4,4,3,1,3,3,0,5,0,0,230,0,2.103
1,2,1,0,4,4,3,1,2,3,0,4,1,2,780,0,6.667
5,3,5,0,4,4,2,1,2,1,0,5,0,0,471.5,0,2.917
5,3,5,0,4,4,1,1,3,2,0,4,1,2,163,0,4.167
5,3,5,1,4,4,4,1,3,1,0,5,0,0,186.5,0,10
4,3,6,0,4,4,3,1,3,1,0,5,0,0,210,0,0.833
5,3,6,0,4,4,3,1,3,2,0,5,0,0,208.3333333,0,0.833
4,3,5,0,4,4,4,1,3,1,0,5,0,0,206.6666667,0,1.238
4,3,4,0,4,4,1,2,3,1,0,5,0,0,205,0,2.5
2,3,5,0,4,4,1,3,3,1,0,5,0,0,203.3333333,0,3.254
4,3,5,0,4,4,3,1,3,2,0,5,0,0,201.6666667,0,1.448
4,3,5,0,4,4,3,1,3,3,0,5,0,0,200,0,1.865
4,3,5,0,4,4,2,1,3,1,0,5,0,0,198.3333333,0,1.667
1,1,3,0,4,4,2,2,3,1,0,4,1,2,196.6666667,0,10
5,3,5,0,4,4,1,1,3,4,0,5,0,0,195,0,2.5
2,2,5,0,4,4,1,2,3,4,0,5,0,0,193.3333333,0,6.667
5,3,4,0,4,4,2,1,3,1,0,5,0,0,191.6666667,0,1.667
5,3,5,0,4,4,2,1,3,2,0,5,0,0,190,0,1.667
4,3,6,0,4,4,3,1,3,1,0,5,0,0,153.3333333,0,0.833
4,3,6,0,4,4,3,1,3,1,0,5,0,0,116.6666667,0,0.833
5,3,5,0,4,4,3,1,2,1,0,5,0,0,80,0,2.083
1,1,5,0,4,4,3,1,2,1,0,5,0,0,85,0,10
2,1,4,0,4,4,1,1,3,5,1,5,0,0,90,0,10
5,3,5,0,4,4,3,1,3,2,0,5,0,0,96,0,0.893
5,3,3,0,4,4,1,1,3,4,0,5,0,0,20,0,2.5
1,1,5,0,4,4,1,1,3,4,1,5,0,0,85,0,10
1,2,1,0,4,4,3,1,2,1,1,5,0,0,186,0,6.667
1,2,4,0,4,4,1,1,2,5,1,5,0,0,105,0,6.667
1,1,2,0,4,4,1,2,2,2,1,4,1,3,194,0,10
5,3,3,0,4,4,1,1,3,2,1,5,0,0,63,0,5
1,1,1,0,4,4,3,2,3,1,0,5,0,0,61.85714286,0,10
2,2,4,0,4,4,2,1,3,1,0,5,0,0,60.71428571,0,6.667
2,2,2,1,4,4,2,2,3,1,0,5,0,0,59.57142857,0,10
5,3,3,0,4,4,2,1,3,1,0,5,0,0,58.42857143,0,1.667
1,3,5,0,4,4,3,1,3,1,0,5,0,0,57.28571429,0,2.143
4,3,5,0,4,4,1,1,3,1,0,5,0,0,56.14285714,0,2.5
5,3,1,0,4,4,2,1,3,1,0,4,2,2,55,0,2.778
5,3,2,0,4,4,2,1,3,5,0,5,0,0,101,0,2.857
5,3,5,0,4,4,3,1,3,1,0,5,0,0,88.75,0,0.833
5,3,2,0,4,4,2,1,3,2,0,4,1,2,76.5,0,3.095
1,2,3,0,4,4,3,1,3,2,0,5,0,0,64.25,0,6.667
4,3,5,0,4,4,3,1,3,2,0,5,0,0,52,0,1.448
1,2,4,0,4,4,2,2,2,5,0,3,2,2,51.8,0,6.667
1,1,4,0,4,4,1,1,3,2,0,5,0,0,51.6,0.033333333,10
4,3,1,0,4,2,2,1,2,2,0,3,1,4,51.4,0.066666667,10
1,2,5,0,4,4,2,1,3,1,0,5,0,0,51.2,0.1,6.667
2,2,2,0,4,4,3,1,3,1,0,5,0,0,51,0.133333333,6.667
5,3,4,0,4,4,1,1,3,2,0,4,2,2,50.8,0.166666667,3.333
4,3,4,0,4,4,2,1,2,3,1,5,0,0,50.6,0.2,5.417
1,3,5,0,4,4,3,1,2,1,1,3,2,2,50.4,0.233333333,5.139
4,3,4,0,4,4,2,1,3,1,0,5,0,0,50.2,0.266666666,1.667
5,3,4,0,4,4,2,1,3,3,1,5,0,0,50,0.3,4.167
3,2,5,0,4,4,2,2,3,1,0,5,0,0,54.375,0.333333333,6.667
2,3,5,0,4,4,1,2,3,1,0,4,2,2,58.75,0.266666666,3.333
3,2,4,0,4,4,1,3,2,5,0,4,1,4,63.125,0.2,6.667
1,3,4,0,4,4,1,2,2,5,1,4,2,3,67.5,0.133333333,6.825
4,3,5,0,4,4,2,1,3,5,0,5,0,0,71.875,0.066666667,2.698
