Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,PR,PR_Function,PR_Benefit,PR Benefit Rating
3,6,0,6,2,0,3,0,1,4,0,0.0,12.3,12.3,12,1.413490974348147,0,0.0,0
4,6,1,5,2,1,1,0,1,5,0,0.0,9.7,9.7,1,4.95,1,2.99,1
4,6,3,5,0,1,1,0,1,4,0,0.0,9.0,9.0,4,3.39,1,10.0,2
3,6,3,4,0,3,1,0,1,4,0,0.0,9.0,9.0,4,10.0,2,0.0,0
4,6,0,5,0,1,4,0,1,4,0,0.0,9.0,9.0,6,3.17,1,0.0,2
1,1,3,1,0,1,1,0,1,5,0,0.0,9.0,9.0,7,4.423080467628129,1,6.377599561352882,2
1,1,1,1,2,0,1,0,1,1,0,0.0,8.3,8.3,1,3.86,1,6.93,2
4,6,3,5,0,1,1,0,1,5,0,0.0,8.3,8.3,4,3.163892700892594,1,6.705713955904421,2
4,6,0,5,2,0,1,0,1,4,0,0.0,7.0,7.0,4,3.76,1,0.0,0
1,1,3,1,2,1,1,0,1,2,0,0.0,4.0,4.0,1,2.886854703174771,0,0.0,0
4,6,1,1,2,1,1,0,1,6,0,0.0,4.0,4.0,7,2.55,0,5.95,2
4,6,0,5,0,2,4,0,1,5,0,0.0,2.3,2.3,9,2.102052784940993,0,0.0,0
1,1,1,1,0,1,1,0,1,2,0,0.0,2.0,2.0,1,10.0,2,0.0,0
1,1,2,2,1,1,1,1,1,4,1,0.0,1.3,1.3,2,3.336624223566059,1,6.177109546346532,2
1,1,2,2,1,1,1,1,1,2,1,0.0,1.0,1.0,2,4.22531539094402,1,10.0,2
4,6,2,2,1,2,4,1,1,4,1,0.0,0.0,0.0,2,5.200511394958771,1,4.159067297702875,1
4,6,2,2,1,2,1,1,1,2,1,0.0,0.0,0.0,2,3.374174554582029,1,10.0,2
3,6,2,2,1,3,1,1,1,5,1,0.0,0.0,0.0,2,3.658444467902927,1,7.217671707260766,2
5,9,2,2,1,1,1,1,1,2,1,0.0,0.0,0.0,2,3.082394575057934,1,2.262433007371251,1
3,6,3,6,0,3,1,0,1,4,0,0.0,0.0,0.0,4,10.0,2,10.0,2
1,1,1,1,2,1,1,0,1,1,0,0.0,0.0,0.0,4,4.15,1,6.47,2
4,6,1,5,2,2,1,0,1,5,0,0.0,0.0,0.0,4,3.35,1,10.0,2
4,6,3,5,3,1,1,0,1,4,2,0.0,0.0,0.0,9,2.65,0,6.27,2
