Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,SR,SR_Function,SR_Benefit,SR Benefit Rating
4,6,1,5,2,1,1,0,1,5,0,0.0,9.7,9.7,1,1.95,0,0.0,0
4,6,3,5,0,1,1,0,1,4,0,0.0,9.0,9.0,4,2.25,0,5.6,1
3,6,3,4,0,3,1,0,1,4,0,0.0,9.0,9.0,4,5.68,1,0.0,0
4,6,0,5,0,1,4,0,1,4,0,0.0,9.0,9.0,6,2.78,0,0.0,0
1,1,3,1,0,1,1,0,1,5,0,0.0,9.0,9.0,7,3.054461457560648,0,4.495602432956596,1
1,1,1,1,2,0,1,0,1,1,0,0.0,8.3,8.3,1,2.1,0,4.86,1
4,6,3,5,0,1,1,0,1,5,0,0.0,8.3,8.3,4,3.98402734587811,1,4.710312712806052,1
4,6,0,5,2,0,1,0,1,4,0,0.0,7.0,7.0,4,3.42,1,0.0,0
1,1,3,1,2,1,1,0,1,2,0,0.0,4.0,4.0,1,3.018853841020056,0,0.0,0
4,6,1,1,2,1,1,0,1,6,0,0.0,4.0,4.0,7,3.12,0,4.22,1
4,6,0,5,0,2,4,0,1,5,0,0.0,2.3,2.3,9,2.360944377751101,0,0.0,0
1,1,1,1,0,1,1,0,1,2,0,0.0,2.0,2.0,1,10.0,2,0.0,0
1,1,2,2,1,1,1,1,1,4,1,0.0,1.3,1.3,2,2.352772649507306,0,4.651069110889424,1
1,1,2,2,1,1,1,1,1,2,1,0.0,1.0,1.0,2,1.772078452723602,0,4.364406520970258,1
4,6,2,2,1,2,4,1,1,4,1,0.0,0.0,0.0,2,1.136591684866718,0,0.0,0
4,6,2,2,1,2,1,1,1,2,1,0.0,0.0,0.0,2,2.132853141256503,0,4.628136103695891,1
3,6,2,2,1,3,1,1,1,5,1,0.0,0.0,0.0,2,1.071415011787847,0,5.045325726224918,1
5,9,2,2,1,1,1,1,1,2,1,0.0,0.0,0.0,2,1.396734037849219,0,0.0,0
3,6,3,6,0,3,1,0,1,4,0,0.0,0.0,0.0,4,10.0,2,4.97,1
1,1,1,1,2,1,1,0,1,1,0,0.0,0.0,0.0,4,1.91,0,4.75,1
4,6,1,5,2,2,1,0,1,5,0,0.0,0.0,0.0,4,2.26,0,5.25,1
4,6,3,5,3,1,1,0,1,4,2,0.0,0.0,0.0,9,3.07,0,4.42,1
