Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,SR,SR_Function,SR_Benefit,SR Benefit Rating,PR,PR_Function,PR_Benefit,PR Benefit Rating,NR,NR_Function,NR_Benefit,NR Benefit Rating,WS,WS_Function,WS_Benefit,WS Benefit Score
2,5,0,3,0,2,0,0,0,2,0,6.3,97.0,90.7,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,5.48,1,0.0,0
3,8,0,3,3,1,0,0,1,0,0,6.3,32.7,26.4,6,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,5.48,1,0.0,0
4,8,0,4,1,3,1,0,1,3,0,6.3,31.7,25.4,1,1.22,0,4.65,1,5.43,1,6.61,2,0.65,0,5.06,1,0.86,0,0.0,0
4,8,3,4,1,3,2,0,1,4,0,6.3,31.7,25.4,1,0.09,0,0.0,0,3.74,1,0.0,0,1.29,0,10.0,2,1.51,0,3.95,1
2,7,2,2,2,3,1,1,0,2,1,6.2,35.3,29.1,2,4.237695078031211,1,0.0,0,10.0,2,2.087205026302337,1,10.0,2,0.0,0,4.268774703557312,1,0.0,0
0,0,3,1,1,0,2,0,0,4,0,6.0,78.0,72.0,1,2.37,0,0.0,0,5.22,1,0.0,0,3.11,1,4.02,1,3.73,1,0.0,0
2,5,0,3,0,1,0,0,0,0,0,6.0,67.0,61.0,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,5.06,1,3.99,1
3,3,3,3,1,1,2,0,0,3,0,6.0,58.3,52.3,1,1.61,0,0.0,0,4.53,1,2.99,1,1.74,0,4.62,1,4.21,1,10.0,2
3,3,0,3,3,2,0,0,0,2,0,6.0,57.7,51.7,1,3.52,1,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.28,1,10.0,2
2,5,0,1,1,3,2,0,0,0,0,6.0,57.0,51.0,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,5.31,1,0.0,0
