Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,NR,NR_Function,NR_Benefit,NR Benefit Rating
1,1,3,1,0,1,1,0,1,5,0,0.0,15.7,15.7,8,2.25,1,5.51,1
1,1,1,1,2,1,1,0,1,1,0,0.0,15.0,15.0,4,2.88,1,10.0,2
4,6,1,0,0,0,3,0,1,4,1,0.0,14.0,14.0,4,0.25,0,10.0,2
3,6,0,4,0,3,3,0,1,4,0,0.0,12.7,12.7,8,10.0,2,0.0,0
3,6,0,6,2,0,3,0,1,4,0,0.0,12.3,12.3,12,1.620797139584754,0,10.0,2
4,6,1,5,2,1,1,0,1,5,0,0.0,9.7,9.7,1,2.0,0,10.0,2
4,6,3,5,0,1,1,0,1,4,0,0.0,9.0,9.0,4,0.87,0,10.0,2
3,6,3,4,0,3,1,0,1,4,0,0.0,9.0,9.0,4,10.0,2,0.0,0
4,6,0,5,0,1,4,0,1,4,0,0.0,9.0,9.0,6,2.36,1,0.0,0
1,1,3,1,0,1,1,0,1,5,0,0.0,9.0,9.0,7,2.845198868984051,1,10.0,2
1,1,1,1,2,0,1,0,1,1,0,0.0,8.3,8.3,1,2.77,1,10.0,2
4,6,3,5,0,1,1,0,1,5,0,0.0,8.3,8.3,4,3.782522561593126,1,10.0,2
4,6,0,5,2,0,1,0,1,4,0,0.0,7.0,7.0,4,1.59,0,10.0,2
1,1,3,1,2,1,1,0,1,2,0,0.0,4.0,4.0,1,2.484253220548712,1,0.0,0
4,6,1,1,2,1,1,0,1,6,0,0.0,4.0,4.0,7,3.23,1,3.72,1
4,6,0,5,0,2,4,0,1,5,0,0.0,2.3,2.3,9,2.881588501602455,1,10.0,2
1,1,1,1,0,1,1,0,1,2,0,0.0,2.0,2.0,1,10.0,2,0.0,0
1,1,2,2,1,1,1,1,1,4,1,0.0,1.3,1.3,2,1.55857338686897,0,10.0,2
1,1,2,2,1,1,1,1,1,2,1,0.0,1.0,1.0,2,2.189940075290342,0,10.0,2
4,6,2,2,1,2,4,1,1,4,1,0.0,0.0,0.0,2,2.006011515932103,0,10.0,2
4,6,2,2,1,2,1,1,1,2,1,0.0,0.0,0.0,2,3.428555185885706,1,10.0,2
3,6,2,2,1,3,1,1,1,5,1,0.0,0.0,0.0,2,1.570516742590589,0,10.0,2
5,9,2,2,1,1,1,1,1,2,1,0.0,0.0,0.0,2,1.144884927619434,0,3.568376068376068,1
3,6,3,6,0,3,1,0,1,4,0,0.0,0.0,0.0,4,10.0,2,10.0,2
1,1,1,1,2,1,1,0,1,1,0,0.0,0.0,0.0,4,1.97,0,4.62,1
4,6,1,5,2,2,1,0,1,5,0,0.0,0.0,0.0,4,2.93,1,10.0,2
4,6,3,5,3,1,1,0,1,4,2,0.0,0.0,0.0,9,3.33,1,10.0,2
