OF18,OF22,OF25,OF27,OF28,F50,SFST_Benefit
0.08,1,2,2254,2,5,6.621
0.01,2,1,2241,0,3,5.04
0.37,2,2,1971,0,5,0.0
0.212,3,3,2039,2,5,0.0
0.12,1,2,2092,0,4,0.0
0.28,2,3,1974,1,5,4.129
0.67,3,3,1706,2,3,2.201
0.156,2,2,1947,2,5,0.0
0.45,2,2,1428,0,5,2.062
0.17204,2,2,1801,0,5,0.0
0.44,1,3,1943,0,4,0.0
0.412,1,1,2062,0,4,4.392
0.279,1,2,1947,2,4,6.363
0.25,2,3,2038,2,5,2.12
0.6162,2,3,2029,2,5,0.0
0.15,3,3,2241,0,4,0.0
0.12,2,3,2341,2,5,0.0
0.18,0,3,2341,0,5,0.0
0.16,3,3,2075,0,4,0.0
0.51,3,3,1698,0,5,0.999
0.53,3,3,1677,2,5,0.0
0.81,3,3,1464,0,5,0.0
0.01,1,3,1516,2,4,4.856
0.19,2,2,2118,2,5,5.841
0.27,3,2,2140,2,4,2.816
0.12,2,3,2181,0,3,0.0
0.603,2,2,2077,2,4,3.478
0.528,2,3,1835,0,5,2.197
0.17,3,2,1911,0,5,0.0
0.34,2,0,2011,0,5,1.659
0.5,2,3,1380,0,5,0.874
0.6,2,3,1380,0,5,0.0
0.00085,1,2,1970,2,5,6.428
0.086,1,2,2207,0,5,5.133
0.75,1,2,2202,0,5,2.612
0.166,1,3,2111,2,5,0.0
0.865,2,3,2099,0,5,0.0
0.29,2,0,1987,2,4,0.0
0.66,2,3,1357,0,5,1.494
0.0129,2,3,2080,2,5,0.0
0.72,2,3,1329,2,5,0.0
0.72,2,3,1329,0,5,0.0
0.41,3,3,1342,0,5,0.0
0.41,3,3,1342,0,5,0.0
0.24,1,3,1907,2,5,4.59
0.24,3,3,1907,0,5,0.0
0.59,3,3,1437,2,5,0.0
0.11,3,3,1954,2,5,2.421
0.54,2,1,1486,0,5,2.757
0.26,1,2,1767,2,5,5.84
0.06,2,2,1950,2,3,6.561
0.19,2,2,2065,2,5,5.784
2146.0,2,2,2146,2,5,-3059.572
0.1,2,3,2065,1,4,4.841
0.9,1,1,2169,2,5,0.0
0.39,2,2,1538,2,4,5.289
