F1,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F17,F21,F24,F25,F29,F31,F33,F34,F43,F47,F48,F66b,SFST
3,5,0,2,0,0,0,0,2,4,5,5,1,5,0,0,4,3,3,50.2,0.733
3,4,0,2,3,1,1,0,2,4,2,5,2,2,0,0,2,1,3,50.0,3.993
2,2,0,2,0,1,3,2,1,3,6,0,0,0,0,0,5,3,3,54.375,0.0
2,0,0,2,0,1,4,3,1,3,6,0,0,0,0,0,4,3,3,58.75,0.694
3,0,0,0,5,0,0,3,4,2,4,4,3,1,0,0,1,1,3,63.125,6.102
3,0,2,0,5,0,0,0,4,2,3,5,2,1,0,0,1,3,3,67.5,4.296
3,0,0,0,1,0,5,2,1,2,5,5,1,5,1,0,3,3,3,71.875,2.833
1,1,0,3,1,1,3,2,1,3,4,5,1,2,0,0,5,3,3,76.25,0.0
1,2,0,2,1,2,4,1,1,4,5,5,1,5,0,0,5,3,3,80.625,0.0
3,0,3,0,3,0,3,0,1,5,2,5,1,5,0,0,4,3,3,85.0,0.646
3,4,2,1,1,1,2,0,1,4,4,5,2,5,0,0,5,3,3,88.0,0.0
3,5,0,2,0,0,0,0,4,3,6,0,0,0,0,0,4,3,3,89.0,0.625
2,1,0,2,2,2,3,3,1,3,4,4,2,5,0,0,2,3,3,90.0,3.727
1,1,0,1,1,3,3,2,1,3,4,3,1,5,0,0,4,3,3,55.0,0.711
1,1,0,1,0,2,3,2,1,3,5,1,1,5,0,0,4,3,0,48.0,0.556
3,0,0,0,4,0,2,2,2,3,1,3,2,3,0,0,1,1,3,183.0,6.343
4,0,0,0,1,0,1,6,1,4,2,4,1,1,0,0,1,1,3,162.875,6.148
1,2,0,0,3,2,4,1,1,3,5,4,3,5,0,0,3,1,3,142.75,3.125
1,2,0,3,0,2,3,1,1,3,6,0,0,0,0,0,5,3,3,122.625,0.0
4,1,1,0,2,0,1,4,1,2,1,5,2,4,2,0,2,1,3,102.5,3.628
2,3,0,3,0,0,2,2,3,3,4,4,2,4,0,0,1,1,3,82.375,5.972
1,2,0,2,0,2,3,2,1,3,5,5,1,5,0,0,4,3,3,62.25,0.778
4,0,0,0,0,0,0,6,4,5,2,1,2,5,0,0,2,3,3,42.125,1.285
2,1,0,1,0,1,4,3,2,3,3,3,2,2,0,0,3,3,3,22.0,2.921
1,1,0,1,0,1,2,3,1,3,5,1,1,5,0,0,5,3,3,22.875,0.0
4,0,3,0,0,0,2,4,4,2,3,2,3,1,0,0,1,1,3,23.75,5.639
3,6,0,0,0,1,1,0,4,2,5,5,2,3,0,0,1,3,3,24.625,5.722
3,5,0,2,0,2,0,0,3,3,4,5,2,5,0,0,2,3,3,25.5,3.854
2,0,0,3,0,0,4,2,1,3,6,0,0,0,0,0,5,3,3,26.375,0.0
1,4,0,2,0,2,3,1,1,3,6,0,0,0,0,0,5,3,3,27.25,0.0
1,1,0,4,0,3,3,1,1,3,6,0,0,0,0,0,5,3,3,28.125,0.0
3,0,0,1,1,1,3,3,2,4,2,3,2,1,0,0,1,1,3,29.0,5.852
3,0,4,0,2,0,2,1,4,5,6,0,0,0,0,0,5,1,3,66.5,0.0
3,1,0,1,0,1,0,0,3,3,5,5,1,5,0,0,4,3,3,104.0,0.833
1,2,0,2,0,2,3,1,1,3,5,5,1,5,0,0,4,3,3,89.5,0.778
3,5,0,1,0,1,1,0,1,4,5,5,1,5,0,0,4,3,3,75.0,0.819
1,3,0,3,0,3,2,1,1,3,5,1,1,5,0,0,5,3,3,82.5,0.0
3,1,1,0,4,0,2,1,2,2,1,5,2,1,0,0,1,2,3,90.0,5.056
2,2,0,3,0,2,2,3,1,3,3,5,1,5,0,0,4,3,3,61.0,0.757
1,2,0,2,0,2,4,2,1,3,5,3,1,5,0,0,4,3,3,53.0,0.736
4,0,0,0,1,0,2,5,1,4,1,3,2,4,0,0,2,2,3,156.0,3.547
3,4,0,2,2,1,1,1,1,4,2,5,2,5,0,0,1,3,2,134.0,6.944
3,4,0,2,2,1,2,2,4,1,5,5,1,1,0,5,1,3,3,134.0,4.778
3,2,1,1,4,1,2,0,2,2,5,5,2,3,0,0,1,2,1,134.0,4.157
3,0,0,0,3,0,2,4,2,4,5,3,2,1,0,0,1,1,3,134.0,6.194
3,0,0,0,4,0,2,2,2,2,4,5,2,2,0,0,1,1,2,134.0,6.87
3,3,0,0,1,0,4,0,4,1,4,4,3,1,0,0,1,2,3,134.0,5.139
1,1,0,2,0,2,5,2,1,3,6,0,0,0,0,0,4,3,3,134.0,0.694
3,2,3,0,2,0,0,0,1,5,6,0,0,0,0,0,1,3,1,134.0,4.111
