OF22,OF25,OF26,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F20,F21,F22,F28,F31,F41,F42,F44,F48,F49,WS,WS_Function
1,3,3,0,0,0,1,0,1,6,0,1,3,1,4,1,0,1,2,0,5.02540937323546,1
0,3,3,0,0,0,0,0,1,6,0,2,3,1,1,0,0,0,2,0,2.18351214003388,0
3,1,5,1,0,2,0,3,2,2,0,2,0,0,0,0,0,0,2,0,9.01,2
1,0,5,2,0,2,0,1,3,2,2,2,0,0,0,0,0,0,2,0,9.21,2
1,3,5,0,0,0,2,0,4,3,1,1,1,0,0,0,0,1,2,0,7.44,2
2,2,3,1,0,1,0,1,4,3,0,3,3,1,4,0,0,0,2,0,3.147939017504235,1
2,3,3,2,1,2,2,2,3,2,1,3,2,1,2,0,0,1,2,0,5.021456804065501,1
0,2,3,1,0,0,0,0,2,5,0,3,2,1,4,0,0,0,2,0,7.065923207227555,2
0,0,5,0,0,0,0,1,5,2,2,2,0,0,4,0,0,0,2,0,5.31,1
3,3,5,1,0,2,0,3,0,2,0,2,0,0,0,0,0,0,2,0,9.01,2
0,1,5,1,0,2,0,2,5,2,0,2,0,0,0,0,0,0,2,0,6.64,2
2,3,3,0,0,1,0,2,4,2,0,2,2,0,4,0,0,0,2,0,7.080039525691701,2
2,3,3,1,0,2,2,3,3,3,0,2,0,0,0,0,0,0,2,0,8.221343873517789,2
3,3,3,1,0,1,0,2,2,3,0,2,1,0,4,0,0,0,2,0,6.74407114624506,2
2,3,3,1,0,1,0,2,3,3,0,2,1,0,0,0,0,0,2,0,6.101778656126483,1
1,1,3,0,0,0,2,0,1,5,2,3,1,1,3,1,0,1,2,1,1.37,0
1,3,2,0,0,0,1,0,3,4,2,2,1,0,4,0,0,1,2,0,3.77,1
0,2,1,0,0,0,2,0,0,5,2,1,1,1,3,1,0,0,2,1,0.88,0
0,2,1,0,0,0,2,0,2,5,2,2,1,0,2,1,0,1,2,1,0.6,0
1,2,3,0,0,0,0,0,1,1,0,1,1,1,4,1,0,1,2,0,1.112365894974591,0
0,2,3,0,3,0,0,0,2,4,2,1,2,2,0,1,0,0,2,2,1.51,0
0,2,1,6,0,0,0,1,1,0,2,1,1,0,2,1,0,0,2,1,0.52,0
0,2,3,5,0,2,0,2,0,0,2,2,1,1,4,0,0,0,2,1,4.21,1
1,3,3,3,0,0,1,0,4,0,1,0,1,0,0,1,0,1,2,2,0.87,0
1,3,5,2,0,2,2,0,3,1,2,2,0,0,0,0,0,0,2,0,9.209486166007906,2
0,3,5,3,0,4,0,0,2,0,2,2,0,0,0,0,0,0,2,1,6.28,1
1,3,5,0,0,3,0,1,4,0,2,2,0,0,4,0,0,0,2,1,3.05,1
0,3,5,0,0,3,0,0,4,2,2,2,0,0,0,0,0,0,2,1,6.28,1
1,1,3,2,0,4,0,2,3,1,2,2,1,0,3,1,0,0,2,1,1.2,0
0,3,5,0,0,2,0,1,4,3,2,2,0,0,0,0,0,0,2,1,6.28,1
0,2,0,1,0,3,0,2,4,1,2,2,0,0,0,0,0,0,2,1,6.28,1
2,3,5,1,0,4,0,0,3,0,2,2,0,0,4,0,0,1,2,1,3.22,1
2,3,5,0,0,3,2,0,3,1,2,2,0,1,3,0,0,1,2,1,3.53,1
1,3,5,2,0,2,0,3,4,0,0,2,0,0,0,0,0,0,2,0,7.43,2
1,3,5,4,0,2,0,2,3,1,2,2,0,0,0,0,0,0,2,0,9.21,2
1,0,5,1,0,4,0,3,3,1,2,2,0,0,0,0,0,0,2,0,9.21,2
1,2,1,2,2,0,4,0,2,1,2,3,2,0,2,0,0,1,2,1,1.51,0
0,1,3,0,0,0,5,0,0,3,2,1,2,1,0,0,0,0,2,1,1.34,0
0,2,3,0,1,0,4,0,2,1,1,0,2,2,0,1,0,1,2,1,2.04,0
0,3,3,0,1,0,4,0,2,3,2,1,2,1,0,1,0,1,2,1,1.31,0
0,2,3,0,2,0,5,0,0,0,2,1,2,2,0,1,0,0,2,1,1.81,0
1,2,5,5,1,0,0,0,0,2,0,2,0,0,0,0,0,1,2,0,7.43,2
1,3,5,0,0,0,1,0,5,2,1,1,1,0,4,0,0,1,2,0,4.6,1
2,1,3,2,1,1,5,0,2,2,1,1,1,2,0,1,0,1,2,0,1.6,0
0,2,2,4,0,2,2,1,2,2,0,0,0,1,0,1,0,1,2,1,0.0,0
0,2,3,2,2,1,3,0,3,1,0,1,1,0,3,0,0,1,2,0,3.4,1
1,3,5,1,0,3,1,1,3,2,2,2,0,0,1,0,0,0,2,1,5.06,1
0,2,5,0,0,0,0,0,0,6,2,2,3,2,1,0,0,1,2,1,2.66,0
0,2,3,0,3,0,3,0,1,2,2,0,3,2,1,0,0,1,2,1,2.72,1
1,3,5,0,4,0,2,0,2,1,2,4,3,0,0,0,0,0,2,0,10.4,2
1,2,5,4,0,2,0,0,3,1,2,2,1,0,0,0,0,1,2,1,3.73,1
0,1,4,1,0,2,0,0,4,3,2,2,1,0,2,1,0,1,2,1,0.74,0
1,3,4,0,0,0,0,0,4,4,2,2,2,1,3,1,0,0,2,1,2.04,0
1,3,3,1,0,1,0,1,0,0,1,2,1,0,4,0,0,0,2,0,6.35,1
1,3,3,2,0,2,0,2,3,1,1,2,1,0,4,0,0,0,2,0,6.35,1
2,3,3,5,0,1,0,1,1,0,1,3,0,0,4,0,0,0,2,0,5.48,1
2,3,3,3,0,3,0,3,2,1,0,2,0,0,4,0,0,0,2,0,5.48,1
1,1,3,1,0,0,1,0,3,3,1,2,3,2,3,1,0,0,2,0,3.082439299830604,1
2,3,3,0,0,1,0,3,3,2,0,2,1,0,4,0,0,0,2,0,6.546442687747036,2
0,3,1,1,1,0,4,0,2,1,1,1,3,1,0,0,0,1,2,1,1.632128740824393,0
2,3,3,2,0,3,0,2,2,3,0,2,2,0,4,0,0,0,2,0,7.080039525691701,2
1,2,3,5,2,2,2,1,1,0,2,2,1,0,3,0,0,1,1,0,3.58498023715415,1
1,2,3,1,0,0,0,0,3,4,0,2,2,1,4,0,0,0,1,0,2.0214568040655,0
0,3,3,1,0,1,1,0,4,2,1,3,3,1,1,1,0,0,2,0,2.450310559006211,0
1,3,4,0,0,1,1,1,1,5,1,4,1,1,2,1,0,1,2,0,1.800112930547713,0
2,3,3,4,1,2,2,1,2,0,0,2,1,0,4,0,0,0,2,0,6.546442687747036,2
2,3,3,1,0,2,0,2,2,2,0,2,0,0,0,0,0,0,2,0,8.22,2
2,3,3,0,0,3,0,1,4,0,0,2,1,0,4,0,0,0,2,0,6.55,2
1,1,3,0,1,1,2,1,4,2,1,1,3,1,2,1,0,0,2,0,5.18,1
2,3,3,1,0,2,0,3,4,1,0,2,1,0,0,0,0,0,2,0,8.22,2
2,3,3,2,0,2,1,2,4,1,0,3,1,0,4,0,0,0,2,0,6.55,2
1,3,3,0,3,0,3,0,3,0,1,4,3,1,4,0,0,0,2,0,8.09,2
0,3,3,4,2,1,1,1,2,0,1,3,1,1,4,0,0,0,2,0,6.53,2
0,3,1,1,1,0,5,0,1,0,1,1,3,1,0,1,0,1,2,0,1.77,0
2,3,3,5,0,2,0,0,0,0,1,2,0,0,0,0,0,0,2,0,9.41,2
