OF16,OF18,OF22,OF25,OF26,OF27,F1,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F6,F17,F18,F20,F21,F22,F23,F24,F28,F31,F33,F34,F36,F41,F42,F48,F49,F54,S5,NR,NR_Function,F44
4,0.03,1,1,3,1893,3,0,0,0,2,1,2,4,0,0,0,0,1,1,3,2,1,3,3,1,1,1,0,0,1,0,0.5,2.189940075290342,0,1
4,0.24,1,3,3,1955,2,2,0,2,2,1,3,2,0,0,0,1,2,1,2,3,1,1,0,0,0,0,0,0,0,0,0.0,2.498158157442558,1,0
4,0.13,0,2,3,2314,3,0,0,0,0,0,2,5,3,0,0,0,2,0,3,1,1,3,0,0,0,1,0,0,0,0,0.5,2.921918136454289,1,1
2,0.56,0,2,2,2254,3,0,0,0,0,1,2,5,2,0,0,0,1,0,3,1,1,3,3,3,2,1,0,2,0,0,0.4166666666666667,1.870019156612679,0,2
4,0.19,1,2,2,2118,3,0,0,0,1,0,1,6,3,0,0,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0.0,2.478023727786216,1,1
4,0.04,1,3,2,1950,2,4,0,2,0,1,0,3,0,1,0,2,2,1,0,4,0,3,0,0,0,0,0,0,0,0,0.0,1.382022977963089,0,4
0,0.1,2,1,5,1945,2,0,0,5,0,2,1,1,2,3,0,1,2,0,1,4,0,3,0,0,0,0,0,2,0,0,0.0,-0.29,0,3
1,0.025,2,2,0,2017,2,5,0,2,0,0,1,0,2,0,0,2,3,0,1,4,0,0,0,0,0,0,0,2,1,0,0.3333333333333333,-0.68,0,3
4,0.14,1,1,5,2236,2,3,2,2,2,2,2,2,1,0,0,1,2,1,1,3,0,2,0,0,0,0,0,0,0,0,0.0,0.832566522426146,0,0
4,0.54,0,3,2,2272,2,3,2,2,2,2,1,2,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,3.51718709210715,1,2
4,0.37,1,2,3,1971,2,2,0,2,0,2,0,3,0,0,0,1,2,1,1,3,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2,0
4,2146.0,1,2,3,2146,2,0,0,0,4,0,2,2,0,1,0,1,1,2,2,3,1,1,0,0,0,1,0,1,1,0,0.0,1.570516742590589,0,0
4,0.25,1,2,5,2141,2,2,0,4,1,3,2,1,0,0,0,2,3,1,1,3,0,4,1,0,0,0,0,2,0,0,0.0,3.129860630717715,1,4
1,0.212,2,3,5,2039,1,1,0,3,0,2,4,1,0,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,1,0,0.0,10.0,2,0
3,0.12,0,2,5,2092,0,0,0,2,0,2,3,2,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0,10.0,2,0
0,0.03,0,2,5,2026,1,1,0,2,0,2,0,5,3,2,1,2,2,2,1,4,0,0,0,4,0,0,0,2,0,0,0.0,0.75,0,2
4,0.26,1,3,5,2314,0,0,0,1,0,2,2,2,3,0,0,0,2,0,1,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
1,0.27,2,2,3,2140,0,2,0,0,3,2,4,1,2,0,0,2,2,0,1,4,1,4,0,0,0,0,0,2,0,0,0.0,1.363855143460955,0,3
