OF19,OF20,OF21,OF22,OF23,OF24,F40,F48,F50,F52,F66,S2,PR_Benefit,PR Benefit Rating
0.09183673469387756,3,3,3,0,2,0,2,4,0,137.2142857142857,0.0,10.0,2
0.09183673469387756,3,0,0,0,2,0,2,4,0,137.2142857142857,0.0,10.0,2
0.09183673469387756,3,3,2,0,2,0,2,4,0,210.0,0.0,0.0,0
0.09183673469387756,3,3,2,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,3,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,0,1,2,1,2,0,2,3,0,90.0,0.0,10.0,2
0.09183673469387756,3,3,1,0,2,1,2,4,0,137.2142857142857,0.0,5.98,2
0.09183673469387756,3,3,1,0,1,0,2,3,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,0,0,2,2,2,3,1,137.2142857142857,0.0,6.47,2
0.09183673469387756,3,3,0,2,1,1,2,4,0,137.2142857142857,0.0,10.0,2
0.09183673469387756,3,3,1,0,2,0,2,4,0,137.2142857142857,0.0,6.177109546346532,2
0.09183673469387756,3,3,0,1,2,0,2,4,0,137.2142857142857,0.0,6.93,2
0.09183673469387756,3,3,0,0,2,0,2,4,0,137.2142857142857,0.0,6.42,2
0.09183673469387756,3,3,0,2,0,0,2,4,0,137.2142857142857,0.0,2.99,1
0.09183673469387756,3,3,1,0,0,0,2,3,2,137.2142857142857,0.0,10.0,2
0.09183673469387756,3,3,1,0,2,0,2,3,2,137.2142857142857,0.6666666666666666,0.0,0
0.09183673469387756,3,3,0,1,2,0,2,4,0,137.2142857142857,0.4444444444444444,0.0,0
0.09183673469387756,3,3,1,1,2,0,2,3,1,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,0,1,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,0,2,4,0,137.2142857142857,0.0,5.93,2
0.09183673469387756,3,3,0,1,2,0,2,3,1,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,0,2,2,0,2,4,0,137.2142857142857,0.0,1.93,0
0.09183673469387756,3,3,2,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,2,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,2,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,2,2,0,2,3,1,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,1,2,0,2,3,1,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,0,2,1,0,2,3,3,137.2142857142857,0.0,2.99,1
0.09183673469387756,3,3,0,2,0,0,2,3,1,137.2142857142857,0.0,10.0,2
0.09183673469387756,3,3,0,0,2,0,2,4,0,137.2142857142857,0.0,6.49,2
0.09183673469387756,3,3,0,1,1,0,2,3,2,137.2142857142857,0.0,10.0,2
0.09183673469387756,3,3,1,1,2,0,2,3,1,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,2,1,1,0,2,4,0,137.2142857142857,0.0,6.46,2
0.09183673469387756,3,3,0,0,0,0,2,4,0,137.2142857142857,0.0,10.0,2
0.09183673469387756,3,3,0,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,1,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,0,1,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,0,1,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,0,0,2,2,2,4,0,137.2142857142857,0.0,6.04,2
