OF22,OF26,OF27,F17,F20,F21,F23,F24,F28,F29,F33,F34,F36,F38,F41,F42,F44,F49,F63,F65,PR,PR_Function
0,5,2092,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
0,5,2026,2,2,2,1,4,0,0,0,4,0,0,0,0,1,0,0.007692307692307693,5.578095744680851,6.71,2
1,5,2314,0,0,2,1,4,0,2,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
2,3,2140,0,2,2,1,4,1,2,0,0,0,0,0,0,1,0,0.007692307692307693,5.578095744680851,6.920733781390384,2
1,5,2141,0,2,2,3,1,0,1,4,2,0,0,0,0,1,0,0.007692307692307693,5.578095744680851,6.467487378497618,2
1,2,1971,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0.0,5.578095744680851,4.911930147336039,1
1,5,1903,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
0,5,2192,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
1,5,2039,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
2,5,2181,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
1,5,2181,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
0,5,2139,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
0,5,2039,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
2,5,2038,0,1,3,1,5,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
1,3,2272,1,0,1,3,2,1,2,4,1,2,0,0,0,1,1,0.0,5.578095744680851,3.082394575057934,1
1,3,1974,3,2,3,2,3,2,1,0,0,0,0,1,0,1,1,0.0,5.578095744680851,3.43,1
1,3,1865,2,2,2,3,1,1,1,3,4,0,0,0,0,0,0,0.0,5.578095744680851,4.47,1
1,3,2034,2,2,1,3,1,1,1,3,1,0,0,1,0,0,1,0.0,5.578095744680851,3.27,1
1,3,1904,1,2,2,3,1,1,1,2,1,0,0,1,0,0,1,0.0,5.578095744680851,3.94,1
2,1,1706,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0.0,7.2,3.243721923126547,1
2,4,2083,3,2,2,3,1,0,0,0,0,0,0,0,0,0,1,0.007692307692307693,5.578095744680851,5.56,2
1,3,1846,0,2,2,3,1,2,2,3,3,2,0,1,0,0,1,0.0,5.578095744680851,4.33,1
1,3,1846,1,2,2,2,1,1,1,4,2,2,0,1,1,1,0,0.0,5.578095744680851,3.78,1
1,3,2041,3,2,2,3,1,0,1,3,2,1,0,1,0,1,0,0.007692307692307693,5.578095744680851,5.65,2
1,1,1947,1,2,3,1,4,0,0,0,0,0,0,0,0,0,1,0.007692307692307693,5.578095744680851,10.0,2
1,5,2077,0,2,1,3,0,1,1,1,0,0,0,0,0,1,1,0.007692307692307693,5.578095744680851,4.24,1
1,2,2024,3,1,0,1,3,3,1,2,4,0,0,1,0,0,1,0.007692307692307693,5.578095744680851,10.0,2
