OF9,OF10,OF11,OF19,OF20,OF21,OF22,OF23,OF24,F13,F40,F50,F51,F52,F66,S2,NR_Benefit,NR Benefit Rating
3,2,3,0.09183673469387756,3,3,0,2,0,2,0,4,0,0,137.2142857142857,0.0,4.62,1
0,2,4,0.09183673469387756,3,3,1,0,0,1,0,3,1,2,137.2142857142857,0.0,10.0,2
2,2,3,0.09183673469387756,3,3,1,0,2,0,0,3,0,2,137.2142857142857,0.6666666666666666,4.017094017094017,1
3,2,3,0.09183673469387756,3,3,0,1,2,0,0,4,0,0,137.2142857142857,0.4444444444444444,0.0,0
1,0,2,0.09183673469387756,3,3,1,1,2,1,0,3,0,1,137.2142857142857,0.0,10.0,2
2,2,2,0.09183673469387756,3,3,0,1,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
3,2,4,0.09183673469387756,3,3,1,0,2,0,0,4,0,0,137.2142857142857,0.0,3.72,1
1,2,4,0.09183673469387756,3,3,0,1,2,0,0,3,1,1,137.2142857142857,0.0,0.0,0
1,2,4,0.09183673469387756,3,3,0,2,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
3,2,4,0.09183673469387756,3,3,2,0,2,1,0,4,0,0,137.2142857142857,0.0,0.0,0
3,2,4,0.09183673469387756,3,3,2,0,2,2,0,4,0,0,137.2142857142857,0.0,0.0,0
3,2,4,0.09183673469387756,3,3,1,0,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
2,2,4,0.09183673469387756,3,3,1,2,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
2,2,4,0.09183673469387756,3,3,1,2,2,0,0,3,1,1,137.2142857142857,0.0,0.0,0
1,1,4,0.09183673469387756,3,3,1,1,2,4,0,3,1,1,137.2142857142857,0.0,10.0,2
2,1,3,0.09183673469387756,3,3,0,2,1,4,0,3,0,3,137.2142857142857,0.0,10.0,2
0,2,4,0.09183673469387756,3,3,0,2,0,4,0,3,0,1,137.2142857142857,0.0,10.0,2
3,2,3,0.09183673469387756,3,3,0,0,2,4,0,4,0,0,137.2142857142857,0.0,4.62,1
0,2,3,0.09183673469387756,3,3,0,1,1,4,0,3,1,2,137.2142857142857,0.0,10.0,2
0,0,2,0.09183673469387756,3,3,1,1,2,0,0,3,0,1,137.2142857142857,0.0,10.0,2
3,2,4,0.09183673469387756,3,3,1,0,2,4,0,4,0,0,137.2142857142857,0.0,0.0,0
1,1,4,0.09183673469387756,3,3,2,1,1,0,0,4,0,0,137.2142857142857,0.0,10.0,2
3,2,3,0.09183673469387756,3,3,0,0,0,0,0,4,0,0,137.2142857142857,0.0,10.0,2
4,2,4,0.09183673469387756,3,3,0,0,2,3,0,4,0,0,137.2142857142857,0.0,0.0,0
3,2,4,0.09183673469387756,3,3,1,1,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
1,1,4,0.09183673469387756,3,3,0,1,2,0,0,4,0,0,137.2142857142857,0.0,10.0,2
1,1,4,0.09183673469387756,3,3,0,1,2,3,0,4,0,0,137.2142857142857,0.0,10.0,2
1,2,5,0.09183673469387756,3,3,1,0,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
4,2,3,0.09183673469387756,3,3,1,0,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
3,2,4,0.09183673469387756,3,3,0,0,2,2,2,4,0,0,137.2142857142857,0.0,4.62,1
