OF22,OF26,OF27,F17,F20,F22,F28,F29,F31,F33,F34,F35,F36,F41,F42,F44,F49,S5,SR,SR_Function
1,3,2079,0,2,1,0,1,3,0,0,0,0,1,0,0,1,0.0,0.33,0
0,5,1943,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.6666666666666666,1.72,0
0,0,1888,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.52,1
2,5,2232,0,2,0,0,1,4,0,0,0,0,0,0,1,1,0.0,1.27,0
2,5,2232,0,2,0,1,1,3,0,0,0,0,0,0,1,1,0.0,2.12,0
1,5,2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.68,1
1,5,2099,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.12,2
1,5,1987,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.12,2
1,1,2221,1,2,2,0,0,2,0,0,0,0,0,0,1,1,0.4166666666666667,0.09,0
0,3,2062,3,2,2,1,2,0,0,0,0,0,0,0,0,1,0.4166666666666667,1.95,0
0,3,2062,2,1,2,2,1,0,0,0,0,0,1,0,1,1,0.3333333333333333,2.25,0
0,3,2109,3,2,2,1,1,0,0,0,0,0,1,0,1,1,0.0,1.74,0
0,3,1947,3,2,2,2,1,0,0,0,0,0,1,0,0,1,0.0,2.26,0
1,5,2228,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,5.68,1
1,5,2038,0,1,1,0,0,4,0,0,0,0,0,0,1,0,0.0,2.6,0
2,3,2122,1,1,1,2,1,0,0,0,0,0,1,0,1,0,0.0,3.23,0
0,2,1767,3,0,0,1,0,0,0,4,0,0,1,0,1,1,0.0,-0.08,0
0,3,2026,3,0,1,0,0,3,0,0,0,0,0,0,1,0,0.0,-0.1,0
1,5,2029,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0.0,10.0,2
0,5,2169,0,2,3,2,1,1,2,3,4,1,0,0,1,1,0.6666666666666666,4.32,1
0,3,1987,2,2,3,2,1,1,0,0,0,0,0,0,1,1,0.0,3.42,1
1,5,2080,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,5.68,1
1,5,1968,1,2,1,0,1,0,0,0,0,0,0,0,1,1,0.0,1.08,0
0,4,1846,1,2,1,0,2,2,4,3,4,2,1,0,1,1,0.0,1.13,0
1,4,1670,0,2,2,1,0,3,3,2,4,0,1,0,0,1,0.0,3.32,0
1,3,1329,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,3,1329,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
2,3,1342,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
2,3,1342,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,3,1426,3,1,3,2,1,3,3,4,4,1,1,0,0,0,0.0,4.756432047862173,1
2,3,1363,0,0,1,0,4,4,4,4,4,2,0,0,0,0,0.0,10.0,2
