Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,PR,PR_Function
4,5,1,5,2,1,1,0,0,1,0,0.0,500.0,500.0,6,3.84,1
1,7,1,1,2,1,4,0,0,5,0,0.0,158.0,158.0,7,4.173023078121778,1
4,5,1,5,2,1,1,0,0,2,0,0.0,149.0,149.0,7,4.22,1
1,7,1,1,2,1,4,0,0,5,0,0.0,144.0,144.0,9,4.131300488104034,1
1,7,1,1,0,1,1,0,0,1,0,0.0,118.0,118.0,1,4.69,1
1,7,1,1,0,1,1,0,0,6,0,0.0,100.0,100.0,7,4.161340752916811,1
1,7,1,0,2,1,1,0,0,1,0,0.0,96.7,96.7,1,3.97,1
4,5,0,0,0,1,1,0,0,4,2,0.0,95.0,95.0,9,3.374174554582029,1
4,5,2,2,1,2,1,1,0,4,1,0.0,85.3,85.3,2,4.471756822648831,1
1,7,1,1,3,1,1,0,0,5,0,0.0,68.0,68.0,10,4.559374261686095,1
1,7,1,1,0,2,4,0,0,1,0,0.0,64.0,64.0,1,4.47,1
4,5,1,5,3,1,1,0,0,1,0,0.0,63.3,63.3,1,5.56,2
1,7,1,1,2,1,1,3,2,5,0,0.0,61.7,61.7,1,3.78,1
4,5,2,2,1,3,4,1,0,4,1,0.0,59.7,59.7,2,5.665857348956685,2
1,7,1,1,0,1,1,0,0,2,0,0.0,56.7,56.7,7,4.28,1
1,7,3,1,0,1,1,0,0,4,2,0.0,48.7,48.7,7,3.968443311734772,1
1,7,1,1,3,1,1,3,0,1,0,0.0,48.0,48.0,4,3.95,1
2,3,3,1,2,1,3,0,0,2,0,0.0,47.0,47.0,7,4.282892565168507,1
4,5,3,5,2,1,1,0,0,4,3,0.0,46.7,46.7,5,3.94,1
4,5,3,5,3,1,1,0,0,4,0,0.0,46.0,46.0,9,3.86914354749254,1
3,5,3,4,0,3,4,0,0,4,2,0.0,42.3,42.3,1,4.62,1
1,7,1,1,0,1,1,0,0,1,0,0.0,40.3,40.3,1,3.94,1
4,6,0,5,0,1,1,0,2,4,0,0.0,33.0,33.0,11,4.47,1
1,1,1,1,0,1,1,0,2,1,0,0.0,32.7,32.7,1,4.47,1
3,6,0,4,0,3,2,0,2,3,3,0.0,31.7,31.7,12,4.15,1
4,6,3,0,1,1,4,0,2,4,0,0.0,31.3,31.3,9,3.480289008527159,1
1,1,0,1,0,1,1,0,2,4,0,0.0,30.7,30.7,7,4.1,1
1,1,1,1,2,1,4,0,2,5,0,0.0,28.7,28.7,6,3.56,1
4,6,3,5,0,1,4,0,2,3,3,0.0,27.3,27.3,6,4.22,1
1,1,1,1,2,1,4,0,2,1,0,0.0,25.0,25.0,6,5.67,2
4,6,1,0,0,1,4,0,2,5,0,0.0,24.0,24.0,7,3.967469784634358,1
1,1,3,1,0,1,4,0,2,4,2,0.0,23.3,23.3,7,4.91,1
1,1,1,1,0,1,1,0,2,2,0,0.0,21.7,21.7,8,3.56,1
1,1,0,1,2,1,4,0,2,4,0,0.0,21.3,21.3,6,4.07,1
4,6,1,5,0,1,1,0,1,5,0,0.0,21.0,21.0,1,4.44,1
3,6,3,4,0,3,4,0,1,4,0,0.0,18.3,18.3,12,2.93,0
4,6,2,2,1,0,1,1,2,4,1,0.0,18.0,18.0,2,5.681155631963191,2
1,1,2,2,1,1,1,1,2,4,1,0.0,17.7,17.7,2,3.357346443274871,1
4,6,0,5,2,1,4,0,1,4,0,0.0,17.3,17.3,7,4.43,1
4,6,1,5,2,0,4,0,1,4,0,0.0,17.0,17.0,6,3.19,1
4,6,3,0,2,1,1,0,1,5,0,0.0,16.7,16.7,1,3.243721923126547,1
3,6,0,4,2,0,1,0,1,4,3,0.0,16.7,16.7,5,3.17,1
1,1,3,1,0,1,1,0,1,5,0,0.0,15.7,15.7,8,2.45,0
1,1,1,1,2,1,1,0,1,1,0,0.0,15.0,15.0,4,3.27,1
4,6,1,0,0,0,3,0,1,4,1,0.0,14.0,14.0,4,4.14,1
3,6,0,6,2,0,3,0,1,4,0,0.0,12.3,12.3,12,1.413490974348147,0
4,6,1,5,2,1,1,0,1,5,0,0.0,9.7,9.7,1,4.95,1
4,6,3,5,0,1,1,0,1,4,0,0.0,9.0,9.0,4,3.39,1
4,6,0,5,0,1,4,0,1,4,0,0.0,9.0,9.0,6,3.17,1
1,1,3,1,0,1,1,0,1,5,0,0.0,9.0,9.0,7,4.423080467628129,1
