Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,WS,WS_Function
2,4,2,2,1,0,3,1,0,4,1,0.0,500.0,500.0,2,4.36,1
4,5,1,5,2,1,1,0,0,1,0,0.0,500.0,500.0,6,4.54,1
0,8,2,2,1,2,2,1,0,3,1,0.0,270.7,270.7,2,8.41897233201581,2
0,0,0,0,2,1,3,0,0,4,0,0.0,198.0,198.0,0,6.55,2
1,7,1,1,2,1,4,0,0,5,0,0.0,158.0,158.0,7,1.843591191417278,0
4,5,1,5,2,1,1,0,0,2,0,0.0,149.0,149.0,7,5.08,1
1,7,1,1,2,1,4,0,0,5,0,0.0,144.0,144.0,9,3.082439299830604,1
1,7,1,1,0,1,1,0,0,1,0,0.0,118.0,118.0,1,0.6,0
1,7,1,1,0,1,1,0,0,6,0,0.0,100.0,100.0,7,1.43647656691135,0
1,7,1,0,2,1,1,0,0,1,0,0.0,96.7,96.7,1,2.04,0
4,5,0,0,0,1,1,0,0,4,2,0.0,95.0,95.0,9,3.635234330886505,1
4,5,2,2,1,2,1,1,0,4,1,0.0,85.3,85.3,2,-0.3342744212309428,0
1,7,1,1,3,1,1,0,0,5,0,0.0,68.0,68.0,10,2.18351214003388,0
1,7,1,1,0,2,4,0,0,1,0,0.0,64.0,64.0,1,2.1,0
4,5,1,5,3,1,1,0,0,1,0,0.0,63.3,63.3,1,1.92,0
1,7,1,1,2,1,1,3,2,5,0,0.0,61.7,61.7,1,1.52,0
4,5,2,2,1,3,4,1,0,4,1,0.0,59.7,59.7,2,0.3083003952569168,0
1,7,1,1,0,1,1,0,0,2,0,0.0,56.7,56.7,7,3.98,1
1,7,3,1,0,1,1,0,0,4,2,0.0,48.7,48.7,7,1.893986448334274,0
1,7,1,1,3,1,1,3,0,1,0,0.0,48.0,48.0,4,2.66,0
